Accounting.ActualValue|Actual|الفعلي
Accounting.AllReconciled|All sub-ledgers reconcile with the general ledger.|جميع الدفاتر الفرعية مطابقة لدفتر الأستاذ العام.
Accounting.Chart|Chart of accounts|دليل الحسابات
Accounting.Check|Check|الفحص
Accounting.Expected|Expected|المتوقع
Accounting.Journals|Journal entries|القيود اليومية
Accounting.Ledger|Account ledger|دفتر الأستاذ
Accounting.NotReconciled|Some checks failed — review the differences below.|فشلت بعض الفحوصات — راجع الفروقات أدناه.
Accounting.OpeningAmountHint|Opening amount (positive = normal balance side)|مبلغ الرصيد الافتتاحي (موجب = جهة الرصيد الطبيعية)
Accounting.OpeningBalance|Opening balance|الرصيد الافتتاحي
Accounting.Periods|Fiscal periods|الفترات المالية
Accounting.Reconciliation|Reconciliation|المطابقة
Accounting.ReconciliationHelp|Compares customer, supplier, inventory and WIP sub-ledgers with their control accounts and checks that the trial balance balances.|تقارن الدفاتر الفرعية للعملاء والموردين والمخزون والإنتاج تحت التشغيل مع حساباتها الرقابية وتتحقق من توازن ميزان المراجعة.
Accounting.RunChecks|Run checks|تشغيل الفحوصات
Attachment.Add|Attach file|إرفاق ملف
Attachment.Title|Attachments|المرفقات
Backup.ConfirmRestore|Restore from "{0}"? The current data will be replaced. A safety backup is created first and the application will reload.|الاستعادة من "{0}"؟ سيتم استبدال البيانات الحالية. سيتم إنشاء نسخة أمان أولاً ثم إعادة تحميل التطبيق.
Backup.Create|Create backup|إنشاء نسخة احتياطية
Backup.Created|Backup created: {0}|تم إنشاء النسخة الاحتياطية: {0}
Backup.DataFolder|Data folder|مجلد البيانات
Backup.File|File|الملف
Backup.History|Backup history|سجل النسخ الاحتياطية
Backup.Integrity|Database integrity|سلامة قاعدة البيانات
Backup.IntegrityHelp|Runs the SQLite integrity check and verifies that the books balance.|يشغّل فحص سلامة SQLite ويتحقق من توازن الدفاتر.
Backup.Invalid|The backup file is not valid: {0}|ملف النسخة الاحتياطية غير صالح: {0}
Backup.Note|Note (optional)|ملاحظة (اختياري)
Backup.Now|Back up now|نسخ احتياطي الآن
Backup.OpenFolder|Open backup folder|فتح مجلد النسخ
Backup.RestoreFile|Restore from file…|استعادة من ملف…
Backup.RestoreHelp|Restore validates the backup checksum and database before replacing data, and always creates a safety backup of the current data first.|تتحقق الاستعادة من بصمة النسخة وقاعدة البيانات قبل استبدال البيانات، وتنشئ دائماً نسخة أمان من البيانات الحالية أولاً.
Backup.RestoreSelected|Restore selected|استعادة المحدد
Backup.Restored|Restore completed. Please sign in again.|اكتملت الاستعادة. يرجى تسجيل الدخول مرة أخرى.
Backup.RunIntegrity|Run integrity check|تشغيل فحص السلامة
Backup.Size|Size|الحجم
Backup.SqliteOk|SQLite integrity check: OK|فحص سلامة SQLite: سليم
Backup.To|Back up to…|نسخ احتياطي إلى…
Backup.Valid|{0} is valid (created {1}, version {2}).|{0} صالح (أُنشئ في {1}، الإصدار {2}).
Backup.Validate|Validate file…|التحقق من ملف…
Backup.Verified|Verified|تم التحقق
Calculator.FitPerPiece|Pieces per sheet (grid)|القطع في اللوح (شبكي)
Calculator.FitPerSheet|Fit per sheet|العدد في اللوح
Calculator.Help|Estimate how many sheets a job needs, the utilization and the material cost.|قدّر عدد الألواح التي يحتاجها العمل ونسبة الاستغلال وتكلفة المواد.
Calculator.Note|Area method: sheets = ⌈pieces area ÷ (sheet area × efficiency)⌉. Grid method is an upper bound for rectangular nesting.|طريقة المساحة: الألواح = ⌈مساحة القطع ÷ (مساحة اللوح × الكفاءة)⌉. الطريقة الشبكية حد أعلى للترتيب المستطيل.
Calculator.PiecesArea|Pieces area|مساحة القطع
Calculator.Result|Result|النتيجة
Calculator.Rotated|Rotated|مُدار
Calculator.SheetsAlone|Sheets (this piece alone)|الألواح (لهذه القطعة وحدها)
Calculator.SheetsByArea|Sheets by area|الألواح حسب المساحة
Calculator.SheetsByGrid|Sheets by grid|الألواح حسب الشبكة
Calculator.Units|Units to produce|الوحدات المطلوب إنتاجها
Calculator.WastePercent|Waste %|نسبة الهدر
Company.Currency|Currency code|رمز العملة
Company.CurrencySymbol|Currency symbol|رمز العملة المختصر
Company.DecimalPlaces|Decimal places|المنازل العشرية
Company.DefaultMargin|Default target margin %|هامش الربح المستهدف الافتراضي %
Company.DefaultMarkup|Default markup %|نسبة الإضافة الافتراضية %
Company.ElectricityPrice|Electricity price per kWh|سعر الكيلوواط ساعة
Company.LaborRate|Default labor rate per hour|سعر ساعة العمالة الافتراضي
Company.MinimumMargin|Minimum acceptable margin %|الحد الأدنى المقبول لهامش الربح %
Company.Name|Company name|اسم الشركة
Company.OverheadRate|Overhead rate %|نسبة التكاليف غير المباشرة %
Company.TaxNumber|Tax registration number|الرقم الضريبي
Company.TaxRate|Default VAT rate %|نسبة ضريبة القيمة المضافة الافتراضية %
Customer.Details|Details|البيانات
Customer.Documents|Documents|المستندات
Customer.Edit|Edit customer|تعديل العميل
Customer.Name|Customer name|اسم العميل
Customer.New|New customer|عميل جديد
