Enum.UserRole.Administrator|Administrator|مسؤول النظام
Enum.UserRole.Manager|Manager|مدير
Enum.UserRole.Accountant|Accountant|محاسب
Enum.UserRole.Sales|Sales|مبيعات
Enum.UserRole.Production|Production|إنتاج
Enum.UserRole.Storekeeper|Storekeeper|أمين مستودع
Enum.Permission.View|View|عرض
Enum.Permission.Create|Create|إنشاء
Enum.Permission.Edit|Edit|تعديل
Enum.Permission.Delete|Delete|حذف
Enum.Permission.Post|Post|ترحيل
Enum.Permission.Approve|Approve|اعتماد
Enum.Permission.Print|Print|طباعة
Enum.Permission.Export|Export|تصدير
Enum.AppModule.Dashboard|Dashboard|لوحة التحكم
Enum.AppModule.Customers|Customers|العملاء
Enum.AppModule.Requests|Customer requests|طلبات العملاء
Enum.AppModule.Jobs|Jobs|أوامر العمل
Enum.AppModule.Design|Design & revisions|التصميم والمراجعات
Enum.AppModule.Estimates|Cost estimation|تقدير التكلفة
Enum.AppModule.Quotations|Quotations|عروض الأسعار
Enum.AppModule.Production|Production|الإنتاج
Enum.AppModule.Inventory|Materials & inventory|المواد والمخزون
Enum.AppModule.Machines|Machines|الماكينات
Enum.AppModule.Employees|Employees & labor|الموظفون والعمالة
Enum.AppModule.Expenses|Expenses|المصروفات
Enum.AppModule.Sales|Sales & invoicing|المبيعات والفواتير
Enum.AppModule.Purchases|Purchases|المشتريات
Enum.AppModule.Accounting|Accounting|المحاسبة
Enum.AppModule.Profitability|Job profitability|ربحية الأعمال
Enum.AppModule.Reports|Reports|التقارير
Enum.AppModule.Settings|Settings|الإعدادات
Enum.AppModule.Backup|Backup & restore|النسخ الاحتياطي والاستعادة
Enum.AppModule.Users|Users & permissions|المستخدمون والصلاحيات
Enum.AuditAction.Created|Created|إنشاء
Enum.AuditAction.Updated|Updated|تعديل
Enum.AuditAction.Deleted|Deleted|حذف
Enum.AuditAction.Posted|Posted|ترحيل
Enum.AuditAction.Approved|Approved|اعتماد
Enum.AuditAction.Reversed|Reversed|عكس
Enum.AuditAction.Login|Sign-in|تسجيل دخول
Enum.AuditAction.LoginFailed|Failed sign-in|محاولة دخول فاشلة
Enum.AuditAction.Logout|Sign-out|تسجيل خروج
Enum.AuditAction.Backup|Backup|نسخ احتياطي
Enum.AuditAction.Restore|Restore|استعادة
