RptCat.Customers|Customers & sales|العملاء والمبيعات
RptCat.Finance|Financial statements|القوائم المالية
RptCat.Inventory|Inventory|المخزون
RptCat.Jobs|Jobs & costing|الأعمال والتكاليف
RptCat.Production|Production|الإنتاج
RptCat.Profit|Profitability|الربحية
RptCat.Trade|Purchasing & payables|المشتريات والدائنون
Rpt.AccountsPayable|Accounts payable aging|أعمار الذمم الدائنة
Rpt.AccountsReceivable|Accounts receivable aging|أعمار الذمم المدينة
Rpt.AccountsReceivable.GlBalance|General ledger receivables balance|رصيد الذمم المدينة في دفتر الأستاذ
Rpt.BalanceSheet|Balance sheet|الميزانية العمومية
Rpt.CashFlow|Cash flow summary|ملخص التدفقات النقدية
Rpt.CustomerBalance|Customer balances|أرصدة العملاء
Rpt.CustomerList|Customer list|قائمة العملاء
Rpt.CustomerProfitability|Customer profitability|ربحية العملاء
Rpt.CustomerRequests|Customer requests|طلبات العملاء
Rpt.CustomerStatement|Customer statement|كشف حساب عميل
Rpt.EstimatedVsActual|Estimated vs actual cost|التكلفة المقدرة مقابل الفعلية
Rpt.ExpenseAnalysis|Expense analysis|تحليل المصروفات
Rpt.GeneralLedger|General ledger|دفتر الأستاذ العام
Rpt.GrossMargin|Gross margin by invoice|مجمل الهامش حسب الفاتورة
Rpt.GrossMargin.Note|Cost of sales is the actual job cost moved to COGS when the invoice was posted.|تكلفة المبيعات هي تكلفة العمل الفعلية المحوّلة إلى تكلفة المبيعات عند ترحيل الفاتورة.
Rpt.GrossProfit|Gross profit by month|مجمل الربح حسب الشهر
Rpt.IncomeStatement|Income statement|قائمة الدخل
Rpt.InventoryValuation|Inventory valuation|تقييم المخزون
Rpt.JobCostSheet|Job cost sheet|بطاقة تكلفة أمر العمل
Rpt.JobCostVariance|Job cost variance|انحرافات تكلفة الأعمال
Rpt.JobProfitability|Job profitability|ربحية الأعمال
Rpt.JobRegister|Job register|سجل أوامر العمل
Rpt.JobStatus|Jobs by status|الأعمال حسب الحالة
Rpt.LowStock|Low stock & reorder|المخزون المنخفض وإعادة الطلب
Rpt.MachineCost|Machine hourly cost|تكلفة ساعة الماكينة
Rpt.MachineCost.Note|* rate entered manually (override). Absorbed = machine hours × rate charged to jobs in the period.|* سعر مُدخل يدوياً. المحمّل = ساعات الماكينة × السعر المحمّل على الأعمال خلال الفترة.
Rpt.MachineProfitability|Machine profitability|ربحية الماكينات
Rpt.MachineProfitability.Note|Revenue and cost are allocated to machines in proportion to their machine hours on each job.|تُوزَّع الإيرادات والتكاليف على الماكينات بنسبة ساعات تشغيلها في كل عمل.
Rpt.MachineUtilization|Machine utilization|استغلال الماكينات
Rpt.MaterialConsumption|Material consumption|استهلاك المواد
Rpt.MaterialCostAnalysis|Material cost analysis|تحليل تكلفة المواد
Rpt.MaterialUtilization|Material (sheet) utilization|استغلال المواد (الألواح)
Rpt.MaterialUtilization.Note|Estimated utilization uses the estimate's sheet count; actual uses sheets actually issued to the jobs.|الاستغلال المقدّر يعتمد على عدد الألواح في التقدير، والفعلي على الألواح المصروفة فعلاً للأعمال.
Rpt.PendingQuotations|Pending quotations|عروض الأسعار المعلّقة
Rpt.ProductionSummary|Production summary by operation|ملخص الإنتاج حسب العملية
Rpt.ProductionSummary.Note|Highlighted rows took more than 15% longer than planned.|الصفوف المميزة استغرقت وقتاً أطول من المخطط بأكثر من 15%.
Rpt.PurchaseRegister|Purchase register|سجل المشتريات
Rpt.QualitySummary|Quality summary|ملخص الجودة
Rpt.QuotationRegister|Quotation register|سجل عروض الأسعار
Rpt.RemnantInventory|Remnant inventory|مخزون البواقي
