# key | English | Arabic
Common.Active|Active|نشط
Common.Apply|Apply|تطبيق
Common.Approve|Approve|اعتماد
Common.AutoNumber|Auto-numbered on save|يُرقَّم تلقائياً عند الحفظ
Common.Back|Back|السابق
Common.Cancel|Cancel|إلغاء
Common.Close|Close|إغلاق
Common.Columns|Columns|الأعمدة
Common.Confirm|Confirm|تأكيد
Common.Delete|Delete|حذف
Common.Edit|Edit|تعديل
Common.Export|Export|تصدير
Common.Inactive|Inactive|غير نشط
Common.Information|Information|معلومات
Common.Invoiced|Invoiced|مفوتر
Common.Next|Next|التالي
Common.No|No|لا
Common.NotInvoiced|Not invoiced|غير مفوتر
Common.OK|OK|موافق
Common.Open|Open|فتح
Common.Paid|Paid|مدفوع
Common.Post|Post|ترحيل
Common.Print|Print|طباعة
Common.Refresh|Refresh|تحديث
Common.Reject|Reject|رفض
Common.Remove|Remove|إزالة
Common.Reset|Reset|إعادة تعيين
Common.ReworkOperation|Rework operation|عملية إعادة تشغيل
Common.Save|Save|حفظ
Common.SaveAndContinue|Save and continue|حفظ ومتابعة
Common.SearchHint|Search…|بحث…
Common.Total|Total|الإجمالي
Common.Yes|Yes|نعم
Common.Unpaid|Unpaid|غير مدفوع
Common.PartiallyPaid|Partially paid|مدفوع جزئياً
Common.Posted|Posted|مرحّل
Common.Draft|Draft|مسودة
Common.Cancelled|Cancelled|ملغى
List.First|First page|الصفحة الأولى
List.Last|Last page|الصفحة الأخيرة
List.Next|Next page|الصفحة التالية
List.Previous|Previous page|الصفحة السابقة
List.PageInfo|Page {0} of {1} · {2} records|صفحة {0} من {1} · {2} سجل
List.PageSize|Rows per page|عدد الصفوف
Nav.Accounting|Accounting|المحاسبة
Nav.Backup|Backup & Restore|النسخ الاحتياطي والاستعادة
Nav.Customers|Customers|العملاء
Nav.Dashboard|Dashboard|لوحة التحكم
Nav.Design|Design & Revisions|التصميم والمراجعات
Nav.Employees|Employees & Labor|الموظفون والعمالة
Nav.Estimates|Cost Estimation|تقدير التكلفة
Nav.Expenses|Expenses|المصروفات
Nav.Inventory|Inventory|المخزون
Nav.Jobs|Jobs|أوامر العمل
Nav.Machines|Machines|الماكينات
Nav.Materials|Materials|المواد
Nav.Production|Production|الإنتاج
Nav.Profitability|Job Profitability|ربحية الأعمال
Nav.Purchases|Purchases|المشتريات
Nav.Quality|Quality|الجودة
Nav.Quotations|Quotations|عروض الأسعار
Nav.Remnants|Remnants|البواقي
Nav.Reports|Reports|التقارير
Nav.Requests|Customer Requests|طلبات العملاء
