# multi-component jobs, product templates, request items
Col.AmountExclTax|Amount (excl. tax)|المبلغ (بدون ضريبة)
Col.DesignRevision|Revision|المراجعة
Col.DimensionsCm|Dimensions (cm)|الأبعاد (سم)
Col.EstimatedUnitCost|Estimated unit cost|تكلفة الوحدة التقديرية
Col.FileName|File name|اسم الملف
Col.FileType|File type|نوع الملف
Col.Item|Item|الصنف
Col.MachineTimeMin|Machine time (min)|وقت الماكينة (دقيقة)
Col.MainMaterial|Main sheet material|مادة اللوح الرئيسية
Col.PaymentMethod|Payment method|طريقة الدفع
Col.PlannedQty|Planned qty|الكمية المخططة
Col.QtyPerUnit|Qty per unit|الكمية لكل وحدة
Col.RequestedItems|Requested items|الأصناف المطلوبة
Col.UsedQty|Used qty|الكمية المستخدمة
Component.Add|Add item|إضافة صنف
Component.AddManual|Other cost|تكلفة أخرى
Component.AddPurchased|Purchased for job|شراء مباشر للأمر
Component.AddPurchasedTip|An item bought directly for this job; its supplier bill is charged to the job and never passes through stock.|صنف يُشترى مباشرة لهذا الأمر؛ تُحمَّل فاتورة المورد على الأمر ولا تمر عبر المخزون.
Component.AddRemnant|Use remnant|استخدام بقايا
Component.AddService|External service|خدمة خارجية
Component.AddStock|From inventory|من المخزون
Component.AddStockTip|Raw material, purchased component, consumable or packaging issued from stock at average cost.|مادة خام أو مكوّن مشترى أو مستهلكات أو تغليف يُصرف من المخزون بمتوسط التكلفة.
Component.DirectCostHint|Posted as Dr Work in progress / Cr Supplier (on credit) or Cash / Bank. The cost is charged to this line only, so it can never be counted twice with a stock issue.|يُرحَّل: مدين الإنتاج تحت التشغيل / دائن المورد (آجل) أو النقدية / البنك. تُحمَّل التكلفة على هذا البند فقط فلا يمكن احتسابها مرتين مع صرف المخزون.
Component.Duplicate|Duplicate|تكرار
Component.Edit|Edit component line|تعديل بند المكوّن
Component.Empty|No component lines yet. Add materials, purchased components, consumables, packaging or services.|لا توجد بنود مكوّنات بعد. أضف مواد أو مكوّنات مشتراة أو مستهلكات أو تغليف أو خدمات.
Component.FreeText|Free-text item|صنف نصّي حر
Component.FromEstimateHint|This line comes from the estimate: its estimated cost is a fixed snapshot for estimated-vs-actual comparison.|هذا البند من التقدير: تكلفته التقديرية لقطة ثابتة للمقارنة بين التقديري والفعلي.
Component.Hint|Unlimited lines: raw materials, purchased components, consumables, packaging, remnants, external services and other direct costs.|بنود غير محدودة: مواد خام ومكوّنات مشتراة ومستهلكات وتغليف وبقايا وخدمات خارجية وتكاليف مباشرة أخرى.
